SKU Name,SKU,Sent In,Weeks Sent In,Unnamed: 4
"6"" Sansevieria Sayuri",1005-837-400,"6"" Sansevieria Cylindrica Braid",1,
"10"" Supreme Tropical",1000-042-855,"10"" Calathea","1, 6, 8, 10, 19, 25, 33, 35, 37",
"8"" Pearl & Jade Hanging Basket",1005-837-391,"8"" Scindapsus Hanging Basket","2, 3, 9, 14, 15, 16, 18, 23, 31",
"4"" Double Wicker",324-789,"4"" Peperomia","2, 20, 23",
"6"" Foliage",452-852,"6"" Pilea",2,
"6"" English Holly",896-939,"4"" Foliage in Rope Basket",2,
"6"" Limited Edition",921-409,"4"" Foliage in Marble Square Pot",2,
"10"" Supreme Tropical",1000-042-855,"8"" Calathea","3, 18",
Medium Fairy Garden,1001-363-215,6” Carnivorous Bog Garden,3,
Large Fairy Garden,1001-363-234,6” Spring Porcelain Garden,3,
6” Ivy Topiary,1000-029-760,4” Dragon Scale Alocasia,5,
4” Double Wicker,324-789,Asst Premium 4” Foliage,"5, 12, 14, 17, 19, 22, 27, 28, 29, 32, 33, 34, 35, 36, 37, 38, 39, 41",
4.5” Lucky Bean,657-420,2.5” Hoya Heart,5,
5” Holiday,124-308,4” Money Tree in Cherry Blossom Pot,6,
6” Holiday Floral Combo,1001-363-224,4.5” Faces Pot w/Ivy or Baby Tears,"6, 17",
10” Marble Bonsai,1005-847-051,8” Ceramic Garden w/Tripod Legs,"6, 17",
6” Watering Cans,931-076,4.5” Ceramic Drawers w/Garden,6,
6” Gloxinia,102-876,4” Teacup/Teapot Violets,6,
3” Mini Holiday Orchid,1004-137-853,Mini Orchid in Glass w/Beads,"6, 15, 17",
Orchid HF Just Add Ice All,274-952,Mini Orchid & Violets in Ceramic,6,
6” Azalea Tree,714-532,5” Stephanotis,"6, 14",
6” Floral Premium,136-213,4” Gloss Kalanchoe in Rose Gold Ceramic,6,
5” Bouvardia,622-242,4” Foliage in Tin w/V-Day Pick,6,
10” Orchid Combo,1004-137-856,8” Orchid Garden,6,
Double Stem Blue Mystic Orchid,411-478,Infinity Orchid,6,
"6"" Philodendron Prince of Orange",1005-837-373,"6"" Philodendron Micans",7,
"6"" Philodendron Prince of Orange",1005-837-373,"6"" Philodendron Brasil",7,
"6"" Philodendron Prince of Orange",1005-837-373,"6"" Philodendron Cordatum","7, 49",
3” Mini Holiday Orchid,1004-137-853,"4"" Orchid in Clay","7, 9, 10, 12, 13, 22, 27, 29, 32, 40, 41, 42",
"8"" Hanging Basket",262-774,"8"" Waffle HB","7, 9, 11, 13, 14, 15, 17",
"6"" Philodendron Moonlight",1005-837-384,"6"" Dracaena Limelight",8,
"4"" Floral Seasonal",131-403,"4"" Spring Cactus","8, 11, 13",
"4.5"" Gloxinia",102-843,"4"" Crocodile Fern","8, 12, 20, 35",
"4"" Double Wicker",324-789,"4"" Citrus Twist Peperomia","8, 13",
"4"" Floral Premium",135-235,"4"" Erica Heather",8,
18” Dish Garden,1001-679-142,Money Tree Garden,9,
6” English Holly,896-939,4” Petite Terra Firma w/ Foliage,9,
4” Floral Holiday,808-047,Mini Kalanchoes in Ceramic,"9, 14",
Large Fairy Garden,1001-363-234,Wine Bottle Terrarium,9,
"10"" Rojo Congo",1000-005-943,"10"" Banana ",10,
"10"" Luxury Tropical ",1005-796-168,"10"" Lyrata Standard","10, 13, 16",
"8"" Ceramic Deco",282-897,"8"" Tea/Fruit Plant",10,
"4"" Deco",135-201,"4"" Oxalis",10,
"6"" Calathea Zabrina",1006-110-500,"6"" Ctenanthe Grey Star",11,
"6"" Floral Premium",136-213,"5"" Pineapple",11,
"10"" Supreme Tropical",1000-042-855,"10"" Harlequin Cordyline w/pot cover",11,
"10"" Lemon Lime",1001-476-045,"10"" Dracaena Rikki",11,
"10"" Upscale Tropical",1005-796-170,"10"" Ctenanthe w/pot cover","11, 17, 20",
Medium Fairy Garden,1001-363-215,"8"" Jar Terrarium",11,
"5"" PW Philodendron Rush",1007-546-387,"5"" PW Philodendron Imperial Gold",11,
"5"" PW Ficus Elastica Melany",1007-546-502,"5"" PW Ficus Elastica Chloe",11,
"7"" PW Philodendron Florida Green",1007-546-439,"7"" PW Philodendron Minima",11,
"6"" Floral Holiday",808-066,"4"" String of Turtles in Hanging Planter","11, 13, 16",
"10"" Supreme Tropical",1000-042-855,10” White Bird w/pot cover,12,
"10"" Upscale Tropical",1005-796-170,10” Alocasia Sumo w/pot cover,12,
"6"" Luxury Foliage",1006-939-475,Large Free Form Planter w/Foliage,12,
"7"" PW Philodendron Lemon Lime",1007-546-473,"7"" PW Philodendron Imperial Gold",12,
"7"" PW Philodendron Rojo Congo",1007-546-471,"7"" PW Philodendron Red Diamond",12,
"6"" Melamine",921-310,"4"" Matte Ceramic Planter w/Foliage",12,
"12"" Tropical",1000-005-251,"10"" Mass Cane w/Swiss Cheese Combo","13, 18",
"8"" Holiday Floral Combo",1001-363-239,6” Classic Stone Planter w/Foliage,13,
7” PW Alocasia Ivory Coast,1007-546-419,7” PW Alocasia Regal Shield,13,
7” PW Schefflera Actinophylla,1007-546-488,7” PW Zamioculcas,13,
7” PW Alocasia Longiloba,1007-546-416,7” PW Alocasia Tigrina,13,
"6"" Clay Pot Bromeliad",262-177,"4"" Bromeliad Garden",14,
6” Holiday Floral Combo,1001-363-224,"5.5"" Pearlescent Egg w/Foliage",14,
"4"" Campanula",260-484,Easter Egg w/Air Plant,14,
"8"" Holiday Floral Basket",1001-363-220,"8"" Peeps Planter w/Garden",14,
"6"" Ivy Hole in One",865-512,"6"" Kalanchoe in Pastel Tin",14,
"6"" Summer Floral",496-407,"4"" Bicolor Kalanchoe in Striped Ceramic",14,
"10"" Upscale Tropical",1005-796-170,"10"" Warneckii/Fern Combo",15,
"10"" Lemon Lime",1001-476-045,"10"" Dracaena Limelight",15,
"8"" Swedish Ivy Hanging Basket",1001-199-143,"8"" Baby Tears /Pilea Hanging Basket","15, 16, 17, 18, 23, 37",
"6"" Watering Cans",931-076,"4.5"" Zora Planter w/Garden",15,
"6"" Floral Ceramic",124-803,Easter Joy Planter w/Foliage,15,
"4"" Round Bonsai",1000-043-976,Two-Tone Planter w/Money Tree,15,
"6"" English Holly",896-939,"6"" Peperomia Hope",15,
10” Marble Bonsai,1005-847-051,Tousle Planter w/Foliage,15,
"8"" Angel Basket",773-253 ,"6"" Fern Hanging Basket",15,
"10"" Promo Foliage",1000-003-903,"10"" 2/1 Yucca ",16,
"6"" English Holly",896-939,"6"" Petite Boho w/ Foliage",16,
"10"" Floral Combo",191-596,"8"" Glass Terrarium",17,
"6"" Watering Cans",931-076,"5.5"" Watering Cans w/Garden",17,
"7.5"" Snowburst Teapot",587-365,"6"" Fern in Embossed Ceramic",17,
"6"" Strawberry & Cream Hydrangea",714-433,"4.5"" Hydrangea","17, 18",
"5"" Stephanotis",587-678,"6"" Hawaiian Palm",17,
"10"" Upscale Tropical",1005-796-170,"8"" Swiss Cheese on Trellis",18,
"10"" Ficus Alii Standard",1000-005-279,"8"" Ficus Audrey Staggered",18,
"10"" 3/2/1 Yucca ",1000-005-296,"10"" Mass Cane Branch",18,
"6"" Bonsai Odessa",733-295,Yoga Mother w/Air Plant,18,
Medium Fairy Garden,1001-363-215,Ruffles Hanging Planter w/Foliage,18,
"6"" Ivy Hole in One",865-512,Petite Lino Planter w/Foliage,18,
"6"" Starter Bonsai",1000-043-979,"4"" Mother's Day Mug w/Foliage",18,
"6"" Floral Ceramic",124-803,"6"" Mini Rose in Market Tin",18,
"8"" Holiday Floral Basket",1001-363-220,"8"" Mini Rose & Ivy Combo in Low Bowl",18,
"6"" Gloxinia",102-876,"6"" Caladium",18,
"6"" Exacum",102-744,"4.5"" Azalea",18,
"14"" Patio Queen Palm",1000-012-839,"12"" Alocasia","18, 21",
"14"" Patio Fox Tail Palm",1000-012-844,"12"" Fishtail Palm",18,
"14"" Patio Sago Palm",1000-012-843,"12"" Cordyline","18, 19, 21",
"5"" Holiday",124-308,"6"" Farolito Lily",18,
"4"" Deco",135-201,"4"" Lisianthus","18, 23",
"6"" Deluxe Foliage",456-373,"6"" Arboricola Luseane",19,
"6"" Foliage Bouquet",359-800,"6"" Hanging Basket","19, 21, 38",
"6"" Holiday Floral Combo",1001-363-224,Bambini Hanging Planter,"19, 28, 29",
"7"" PW Philodendron Florida Green",1007-546-439,"7"" PW Philodendron Imperial Green",19,
