id,common_name,scientific_name,image,light,water,humidity,temp,soil,fertilizer,toxicity,tips
philodendron_hederaceum_brasil,Philodendron ‘Brasil’,Philodendron hederaceum ‘Brasil’,images/plants/philodendron_hederaceum_brasil.jpg,"Medium to bright indirect light; brighter light keeps variegation strong.","Water when top 2–3 cm (1 in) are dry; avoid letting plant sit in water.","Prefers 50–70% humidity; tolerates 40–50% indoors.","Ideal 18–28°C (64–82°F).","Aroid mix: potting soil + bark + perlite for good aeration.","Feed every 4–6 weeks in growing season; do not overfertilize.","Toxic if ingested.","Rotate regularly so variegated leaves receive even light; prune and replant cuttings into the pot to keep it full."
philodendron_hederaceum_micans,Philodendron ‘Micans’ (Velvet Philodendron),Philodendron hederaceum var. hederaceum,images/plants/philodendron_hederaceum_micans.jpg,"Medium to bright indirect light; avoids harsh direct sun which can fade velvet leaves.","Water when top 2–3 cm (1 in) are dry; more frequent watering in warm, bright conditions.","Prefers 55–75% humidity; tolerates ~50% but appreciates extra humidity.","Ideal 18–26°C (64–79°F).","Light, airy aroid mix with bark and perlite.","Feed every 4 weeks in spring/summer at low strength.","Toxic if ingested.","Great candidate for moss poles or hanging baskets; higher humidity and support encourage larger, more dramatic leaves."
philodendron_hederaceum_lemon_lime,Philodendron ‘Lemon Lime’,Philodendron hederaceum ‘Lemon Lime’,images/plants/philodendron_hederaceum_lemon_lime.jpg,"Bright indirect light for best color; tolerates medium light with less neon intensity.","Water when top 2–3 cm (1 in) are dry; reduce slightly in low light.","Prefers 50–70% humidity; tolerates typical indoor levels (~40–50%).","Ideal 18–28°C (64–82°F).","Well-draining aroid mix.","Feed every 4–6 weeks during active growth.","Toxic if ingested.","Protect bright foliage from direct sun to avoid bleaching; pinch growing tips to keep a compact, bushy plant."
philodendron_hederaceum_variegata,Variegated Heartleaf Philodendron,Philodendron hederaceum variegata,images/plants/philodendron_hederaceum_variegata.jpg,"Bright, indirect light; higher light needed to maintain variegation but avoid hot direct sun.","Water when top 2–3 cm (1 in) are dry; variegated foliage may be more sensitive to overwatering.","Prefers 55–70% humidity.","Ideal 18–26°C (64–79°F).","Airy aroid mix with bark, perlite, and some coco/peat.","Feed lightly every 4–6 weeks; avoid heavy feeding which can encourage green reversion.","Toxic if ingested.","Remove fully green shoots if plant starts reverting; give bright, stable light to keep variegation strong."
philodendron_brasil_compact,Philodendron ‘Brasil’ Compact (if sold separately),Philodendron hederaceum ‘Brasil’ (compact form),images/plants/philodendron_brasil_compact.jpg,"Medium to bright indirect light.","Water when top 2–3 cm are dry; compact growth forms are prone to rot if overwatered.","Prefers 50–70% humidity; tolerates typical indoor humidity.","Ideal 18–26°C (64–79°F).","Well-draining aroid mix in a pot with drainage holes.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Excellent for tighter spaces; careful not to oversize the pot, which increases risk of staying too wet."
philodendron_birkin,Philodendron ‘Birkin’,Philodendron ‘Birkin’,images/plants/philodendron_birkin.jpg,"Bright, indirect light; more light encourages crisp white striping.","Water when top 2–3 cm (1 in) are dry; do not allow soil to remain saturated.","Prefers 50–70% humidity; tolerates 40–50% with slower growth.","Ideal 18–27°C (64–81°F).","Chunky aroid mix with bark and perlite for good root aeration.","Feed every 4–6 weeks during active growth with a balanced fertilizer at low strength.","Toxic if ingested.","Self-heading type; rotate regularly for even growth and inspect lower leaves for yellowing from overwatering."
philodendron_imperial_green,Philodendron ‘Imperial Green’,Philodendron ‘Imperial Green’,images/plants/philodendron_imperial_green.jpg,"Medium to bright indirect light; tolerates medium light but grows more slowly.","Water when top 3–5 cm (1–2 in) are dry; prefers evenly moist but not soggy soil.","Comfortable at 40–60% humidity; benefits from 50–70% for lush foliage.","Ideal 18–28°C (64–82°F).","Rich, well-draining potting soil with added bark/perlite.","Feed every 4–6 weeks in spring and summer.","Toxic if ingested.","Compact, self-heading cultivar often sold at big-box stores; wipe large leaves to keep them glossy and dust-free."
philodendron_imperial_red,Philodendron ‘Imperial Red’,Philodendron ‘Imperial Red’,images/plants/philodendron_imperial_red.jpg,"Medium to bright indirect light.","Water when top 3–5 cm are dry; slightly less in winter.","Prefers 50–70% humidity but manages in 40–50%.","Ideal 18–27°C (64–81°F).","Well-draining potting mix with some bark/perlite.","Feed every 4–6 weeks in growing season.","Toxic if ingested.","Produces large, bold leaves with red/burgundy tones; avoid cramped, too-small pots as plant matures."
philodendron_rojo_congo,Philodendron ‘Rojo Congo’,Philodendron ‘Rojo Congo’,images/plants/philodendron_rojo_congo.jpg,"Bright to medium indirect light; some morning sun is tolerated.","Water when top 3–5 cm are dry; keep evenly moist in bright conditions.","Prefers 50–70% humidity; tolerates 40–50%.","Ideal 18–28°C (64–82°F).","Chunky, well-draining aroid mix.","Feed every 4 weeks in spring/summer.","Toxic if ingested.","Upright, self-heading hybrid with burgundy new growth; provide space and a sturdy pot as it can become large."
philodendron_prince_of_orange,Philodendron ‘Prince of Orange’,Philodendron ‘Prince of Orange’,images/plants/philodendron_prince_of_orange.jpg,"Bright indirect light for the best orange flush; tolerates medium light with less intense color.","Water when the top 3–5 cm (1–2 in) are dry; avoid waterlogging.","Prefers 50–70% humidity; tolerates typical indoor humidity.","Ideal 18–27°C (64–81°F).","Well-draining potting mix with added bark/perlite.","Feed every 4–6 weeks during growth with a balanced fertilizer.","Toxic if ingested.","Color-focused cultivar; keep in bright, indirect light to maintain vibrant new leaf color."
