store_id,store_name,address,city,state,zip,lat,lon,territory
1851,Belleville,5501 Belleville Crossing St,Belleville,IL,62226.0,38.524745,-90.030281,1
1901,Broadview,700 Broadview Village Square,Broadview,IL,60155.0,41.852765,-87.849351,3
1902,Evanston,2201 Oakton Street,Evanston,IL,60201.0,42.026609,-87.704957,3
1903,Brickyard,2555 N. Normandy,Chicago,IL,60607.0,41.9260822,-87.7920112,3
1904,Schaumburg,100 Barrington Road,Schaumburg,IL,60159.0,42.0263915,-88.1473634,4
1905,Darien,2101 W. 75th Street,Darien,IL,60561.0,41.7513589,-87.9948385,2
1906,Orland Park,7300 W. 159th Street,Orland Park,IL,60462.0,41.6032171,-87.7966213,2
1907,Niles,901 Civic Center Drive,Niles,IL,60714.0,42.0238321,-87.7997939,4
1908,Bedford Park,7200 S Cicero Ave,Bedford Park,IL,60638.0,41.7625536,-87.7458841,3
1909,Calumet City,1550 Torrence Avenue,Calumet City,IL,60409.0,41.5888083,-87.560906,3
1911,Cicero,2803 S. Cicero Avenue,Cicero,IL,60804.0,41.8413072,-87.7412128,3
1912,North Avenue,1232 W. North Avenue,Chicago,IL,60622.0,41.9115294,-87.6583991,3
1913,Mt. Prospect,350 E. Kensington,Mt. Prospect,IL,60056.0,42.08123,-87.932278,4
1914,Dan Ryan,200 W 87th St,Chicago,IL,60620.0,41.736201,-87.627428,3
1915,Quincy,5432 Broadway,Quincy,IL,62305.0,39.932558,-91.328629,1
1916,Downers Grove,2000 Butterfield Road,Downers Grove,IL,60515.0,41.834886,-88.031982,2
1917,Glendale Heights,295 E. Army Trail Road,Glendale Heights,IL,60139.0,41.934228,-88.076892,2
1918,Naperville,2920 Audrey Avenue,Naperville,IL,60540.0,41.74826,-88.203248,2
1919,Northlake,37 W. North Avenue,Northlake,IL,60164.0,41.907015,-87.900716,2
1920,Crystal Lake,4447 U.S. Route 14,Crystal Lake,IL,60014.0,42.225302,-88.285431,4
1921,Geneva,2111 S. Randall Road,Geneva,IL,60134.0,41.868171,-88.340266,2
1922,Gurnee,6625 Grand Avenue,Gurnee,IL,60031.0,42.383547,-87.968263,4
1924,Fairview Heights,1706 W Hwy 50,Fairview Heights,IL,62269.0,38.592691,-89.957658,1
1926,Deerfield,655 Lake Cook Road,Deerfield,IL,60015.0,42.151033,-87.843113,4
1927,Palatine,825 E Dundee Road,Palatine,IL,60074.0,42.137033,-88.022602,4
1928,Rockford,6930 Argus Drive,Rockford,IL,61107.0,42.273827,-88.982279,5
1932,Matteson,20808 Cicero Avenue,Matteson,IL,60443.0,41.510299,-87.734503,2
1934,Elgin,,,,,42.0504124,-88.3397459,4
1935,Chicago Ridge,300 Commons Drive,Chicago Ridge,IL,60415.0,41.709533,-87.782118,3
1936,Homewood,17845 Halstead Street,Homewood,IL,60430.0,41.565749,-87.633849,3
1937,Schererville,960 U.S. Highway 41,Schererville,IN,46375.0,41.505109,-87.473088,3
1938,Vernon Hills,493 N Milwaukee Ave,Vernon Hills,IL,60061.0,42.235093,-87.939098,4
1939,Bolingbrook,105 N. Weber Road,Bolingbrook,IL,60490.0,41.709235,-88.127489,2
